family,name,type,status,desc
ADPASSHUNT,ADPASSHUNT (CREDENTIAL STEALER),hxioc,production,"This IOC detects indicators associated with the ADPassHunt Tool. This tool is used to hunt for AD credentials and used via execute-assembly that looks for passwords in GPP, Autoruns and AD objects.  This is associated with MITRE ATT&amp;CK (r) Tactic(s): Credential Access and Technique(s): T1003.003, T1552.006."
ADPASSHUNT,APT_HackTool_MSIL_ADPassHunt_1,yara,production,A static type of detection intended to detect OpCode of getting password and build dn 
ADPASSHUNT,APT_HackTool_MSIL_ADPassHunt_2,yara,production,A static type of detection intended to detect Strings related to ldap and group policies 
ADPASSHUNT,CredTheft_MSIL_ADPassHunt_1,yara,production,The TypeLibGUID present in a .NET binary maps directly to the ProjectGuid found in the '.csproj' file of a .NET project. This rule looks for .NET PE files that contain the ProjectGuid found in the public ADPassHunt project.
ADPASSHUNT,CredTheft_MSIL_ADPassHunt_2,yara,production,This rule looks for PE files with default strings for the ADPassHunt tool.
ALLTHETHINGS,Loader_MSIL_AllTheThings_1,yara,production,The TypeLibGUID present in a .NET binary maps directly to the ProjectGuid found in the '.csproj' file of a .NET project. This rule looks for .NET PE files that contain the ProjectGuid found in the 'AllTheThings' project.
BEACON,Trojan_Raw_Generic_4,yara,supplemental,A static type of detection intended to detect OpCode of a malicious shellcode  
BEACON,Backdoor.DNS.BEACON.[CSBundle DNS],snort,production,This rule is looking for DNS TXT record responses that contain DomainKey related content specified within the Cobalt Strike malleable C2 profile in combination with a 3-character subdomain. This content is present in the DNS responses as an attempt to appear more legitimate.
BEACON,Backdoor.DNS.BEACON.[CSBundle DNS],snort,production,This rule is looking for DNS TXT record responses that contain DomainKey related content specified within the Cobalt Strike malleable C2 profile. This content is present in the DNS responses as an attempt to appear more legitimate.
BEACON,Backdoor.HTTP.BEACON.[CSBundle CDN GET],snort,production,Network detection rule that looks for specific HTTP headers related to the HTTP GET request content designated within the Cobalt Strike malleable C2 profile.
BEACON,Backdoor.HTTP.BEACON.[CSBundle MSOffice GET],snort,production,Network detection rule that looks for specific HTTP headers and URI content. This is related to the HTTP GET request content designated within the Cobalt Strike malleable C2 profile.
BEACON,Backdoor.HTTP.BEACON.[CSBundle MSOffice POST],snort,production,Network detection rule that looks for a specific HTTP URI value in combination with HTTP header values and payload content. These are related to the HTTP POST request values designated within the Cobalt Strike malleable C2 profile.
BEACON,Backdoor.HTTP.BEACON.[CSBundle MSOffice POST],snort,production,Network detection rule that looks for specific HTTP header and URI values. These are related to the HTTP POST request content designated within the Cobalt Strike malleable C2 profile.
BEACON,Backdoor.HTTP.BEACON.[CSBundle MSOffice Server],snort,production,Network detection rule that looks for specific response body content specified within Cobalt Strike malleable C2 profile. This is used as an attempt to blend in and provide a resemblance of legitimate network communications.
BEACON,Backdoor.HTTP.BEACON.[CSBundle MSOffice Server],snort,production,Network detection rule that looks for specific response body content specified within Cobalt Strike malleable C2 profile. This is used as an attempt to blend in and provide a resemblance of legitimate network communications.
BEACON,Backdoor.HTTP.BEACON.[CSBundle NYTIMES GET],snort,production,Network detection rule that looks for specific HTTP headers and URI content. This is related to the HTTP GET request content designated within the Cobalt Strike malleable C2 profile.
BEACON,Backdoor.HTTP.BEACON.[CSBundle NYTIMES POST],snort,production,Network detection rule that looks for specific HTTP header and URI values. These are related to the HTTP POST request content designated within the Cobalt Strike malleable C2 profile.
BEACON,Backdoor.HTTP.BEACON.[CSBundle NYTIMES Server],snort,production,Network detection rule that looks for specific HTTP headers related to the HTTP response content designated within the Cobalt Strike malleable C2 profile.
BEACON,Backdoor.HTTP.BEACON.[CSBundle NYTIMES Server],snort,production,Network detection rule that looks for specific response body content specified within Cobalt Strike malleable C2 profile. This is used as an attempt to blend in and provide a resemblance of legitimate network communications.
BEACON,Backdoor.HTTP.BEACON.[CSBundle Original GET],snort,production,Network detection rule that looks for specific HTTP headers and URI content. This is related to the HTTP GET request content designated within the Cobalt Strike malleable C2 profile.
